[Load Data] Load data from newsCorpora.csv
[Pre-Process] Did not find vocab.json
[Pre-Process] Now generating vocab.json
Max length of title: 14
Generating BOW representation...
[Pre-Process] Save BOW to local files
Accuracy: 0.470, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.480, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.468, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.482, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.470, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.478, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.470, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.750, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 10}
Maximum Accuracy!
Accuracy: 0.778, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}
Maximum Accuracy!
Accuracy: 0.746, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.764, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.736, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.748, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.774, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.774, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.762, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.768, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.748, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.762, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.736, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.740, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.756, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.758, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.740, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.756, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.744, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.744, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.756, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.750, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.740, Parameters: {'criterion': 'gini', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 10}
